"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_1"	3238	"CREBBP"	123	"HiG"
"HiG_1"	1623	"WSB1"	214	"HiG"
"HiG_1"	15512	"SLC9A3R1"	36	"HiG"
"HiG_1"	0	"EPC1"	916	"HiG"
"HiG_1"	60	"UBE2R2"	484	"HiG"
"HiG_1"	0	"ARFGAP3"	916	"HiG"
"HiG_1"	3	"PLEKHA4"	618.5	"HiG"
"HiG_1"	0	"TCF25"	916	"HiG"
"HiG_1"	20	"BLVRB"	530	"HiG"
"HiG_1"	0	"FAM32A"	916	"HiG"
"HiG_1"	21	"P4HA1"	527	"HiG"
"HiG_1"	0	"ZC2HC1A"	916	"HiG"
"HiG_1"	101	"CHMP3"	459.5	"HiG"
"HiG_1"	0	"CHIC2"	916	"HiG"
"HiG_1"	39056	"KDR"	14	"HiG"
"HiG_1"	10	"KIF1B"	561	"HiG"
"HiG_1"	0	"EHBP1"	916	"HiG"
"HiG_1"	1159	"CDH3"	268	"HiG"
"HiG_1"	468	"ARID4B"	395	"HiG"
"HiG_1"	0	"POPDC2"	916	"HiG"
"HiG_1"	717	"FAM13A"	376	"HiG"
"HiG_1"	0	"KIAA1109"	916	"HiG"
"HiG_1"	8264	"IFT57"	59	"HiG"
